Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Islamabad,Islamabad,Pakistan,Asia,,,,,4700000,,662042069,15.90%,,,,,,,,33.75,73.1
Surat,Gujarat,India,Asia,,,,,4591246,,137750375,3.31%,,,,,,,,21.15,72.8
Fuzhou,Fujian,China,Asia,,56,200,3.57,4468076,893615200,374436129,8.99%,,,,,Quanzhou,,,26.1,119.2
İzmir,,Turkey,Asia,,,,,4113072,,832393615,19.99%,,,,,,,,38.7,27.25
Nanchang,Jiangxi,China,Asia,,58,300,5.17,4107962,1232388600,431543222,10.36%,,,,,Changsha,,,28.666,115.9
Dalian,Liaoning,China,Asia,,59,390,6.61,4087733,1594215870,840469724,20.18%,,,,,Shenyang,,,38.9,121.5
Faisalabad,Punjab,Pakistan,Asia,,,,,4075000,,599358438,14.39%,,,,,,,,31.5,73.1
Taiyuan,Shanxi,China,Asia,,61,437,7.16,4062173,1775169601,811119408,19.48%,,,,,Zhengzhou,,Yes,37.9,112.5
Chittagong,Chittagong,Bangladesh,Asia,,,,,4009423,,158540855,3.81%,,,,,,,,22.333,91.8
Amman,,Jordan,Asia,,,,,4007526,,619580714,14.88%,,,,,,,,31.95,35.95
Shijiazhuang,Hebei,China,Asia,,64,260,4.06,3995290,1038775400,822750726,19.76%,,,,,Tianjin,,Yes,38.1,114.5
Jeddah,,Saudi Arabia,Asia,,,,,3976400,,149442125,3.59%,,,,,,,,21.5,39.15
Roma,,Italy,Europe,,,,,3906000,,959623730,23.04%,,,,,,,,41.9,12.5
Tel Aviv,,Israel,Asia,,,,,3785000,,637185465,15.30%,,,,,,,,32.06,34.8
Napoli,,Italy,Europe,,,,,3706000,,915272354,21.98%,,,,,,,,40.85,14.25
Kunming,Yunnan,China,Asia,,69,700,10.14,3583429,2508400300,343105449,8.24%,,,,,Yunnan,,Yes,24.9,102.8
Busan,none,South Korea,Asia,,,,,3548640,,699696135,16.80%,,,,,,,,35.15,129.0666
Wuxi,Jiangsu,China,Asia,,71,120,1.69,3542319,425078280,602900757,14.48%,,,,,Shanghai,,,31.5,120.3333
Xiamen,Fujian,China,Asia,,72,100,1.39,3531347,353134700,299086787,7.18%,,,,,Quanzhou,,,24.5,118
Changchun,Jilin,China,Asia,,73,240,3.29,3530115,847227600,976885801,23.46%,,,,,Harbin,,Yes,43.9,125.25
Ningbo,Zhejiang,China,Asia,,74,150,2.03,3491597,523739550,478724829,11.50%,,,,,Hangzhou,,,29.9,121.5
Hyderabad,Sindh,Pakistan,Asia,,,,,3490000,,353046401,8.48%,,,,,,,,25.4,68.35
Zibo,Shandong,China,Asia,,76,100,1.32,3484800,348480000,763468711,18.33%,,,,,Jinan,,,36.8,118
Athens,,Greece,Europe,,,,,3484000,,814603408,19.56%,,,,,,,,37.9,23.6
Hefei,Anhui,China,Asia,,78,150,1.92,3352076,502811400,607436382,14.59%,,,,,Nanjing,,Yes,31.8,117.25
Changzhou,Jiangsu,China,Asia,,79,130,1.65,3290548,427771240,610726930,14.67%,,,,,Nanjing,,,31.8,120
Kabul,,Afghanistan,Asia,,,,,3289000,,689115170,16.55%,,,,,,,,34.5,69.15
Taizhou,Zhejiang,China,Asia,,81,130,1.6,3269300,425009000,434812522,10.44%,,,,,Wenzhou,,,28.666667,121.45
Pyongyang,,North Korea,Asia,,,,,3255288,,859725012,20.65%,,,,,,,,39,125.75
Tangshan,Hebei,China,Asia,,83,120,1.45,3187171,382460520,864473183,20.76%,,,,,Tianjin,,,39.6,118.25
Nantong,Jiangsu,China,Asia,,84,100,1.19,3180924,318092400,613907854,14.74%,,,,,Changzhou,,,31.8,120
Nanning,Guangxi,China,Asia,,85,500,5.88,3177450,1588725000,199989917,4.80%,,,,,Guangzhou,,Yes,22.8,108.3333
Multan,Punjab,Pakistan,Asia,,,,,3100000,,481824829,11.57%,,,,,,,,30.1,71.5
Jaipur,Rajasthan,India,Asia,,,,,3046163,,388598907,9.33%,,,,,,,,26.9,75.8
Guiyang,Guizhou,China,Asia,,88,320,3.64,3037159,971890880,382649824,9.19%,,,,,Chongqing,,Yes,26.6,106.6
Urumqi,Xinjiang,China,Asia,,89,2550,28.65,2988715,7621223250,970558883,23.31%,,,,,Xi'an,,Yes,43.8,87.55
Kanpur,Uttar Pradesh,India,Asia,,,,,2920496,,379612665,9.12%,,,,,,,,26.45,80.33
Lucknow,Uttar Pradesh,India,Asia,,,,,2902920,,385552744,9.26%,,,,,,,,26.8,80.9
Incheon,none,South Korea,Asia,,,,,2808286,,772624924,18.55%,,,,,,,,37.5,126.6
Bursa,,Turkey,Asia,,,,,2787539,,895101851,21.49%,,,,,,,,40.2,29.05
Mashhad,Razavi Khorasan,Iran,Asia,,,,,2749374,,740793869,17.79%,,,,,,,,36.3,59.6
Gujranwala,Punjab,Pakistan,Asia,,,,,2700000,,641435465,15.40%,,,,,,,,32.15,74.15
Lisbon,,Portugal,Europe,,,,,2666000,,836381991,20.08%,,,,,,,,38.8,-9.1
Dubai,,United Arab Emirates,Asia,,,,,2665978,,346773121,8.33%,,,,,,,,25.25,55.3
Rotterdam-The Hague,,Netherlands,Europe,,,,,2660000,,1064044277,25.55%,,,,,,,,52.1,4.4
Manchester,,United Kingdom,Europe,,,,,2639000,,1083019156,26.01%,,,,,,,,53.5,-2.25
Huai'an,Jiangsu,China,Asia,,100,,0,2633420,0,655927156,15.75%,,,,,,,,33.5,119
Xuzhou,Jiangsu,China,Asia,,101,,0,2623066,0,672028613,16.14%,,,,,,,,34.15,117.25
Linyi,Shandong,China,Asia,,102,,0,2600200,0,699696135,16.80%,,,,,,,,35.1,118.34
Birmingham,,United Kingdom,Europe,,,,,2512000,,1076463471,25.85%,,,,,,,,52.5,-1.9
Daegu,none,South Korea,Asia,,,,,2508563,,716032359,17.19%,,,,,,,,35.9,128.6
Nagpur,Maharashtra,India,Asia,,,,,2497870,,140248245,3.37%,,,,,,,,21.15,79.09
Lanzhou,Gansu,China,Asia,,106,,0,2492325,0,733916635,17.62%,,,,,,,Yes,36.1,103.85
Kuwait city,,Kuwait,Asia,,,,,2400000,,443047644,10.64%,,,,,,,,29.4,47.95
Yangzhou,Jiangsu,China,Asia,,108,,0,2399079,0,643834544,15.46%,,,,,,,,32.33,119.45
Ghaziabad,Uttar Pradesh,India,Asia,,,,,2375820,,437188342,10.50%,,,,,,,,28.67,77.42
Anshan,Liaoning,China,Asia,,110,,0,2242436,0,931891808,22.38%,,,,,,,,41.1,123
Baku,,Azerbaijan,Asia,,,,,2225800,,904987789,21.73%,,,,,,,,40.4,49.9
Antalya,,Turkey,Asia,,,,,2222562,,720763484,17.31%,,,,,,,,35.9,30.7
Beirut,,Lebanon,Asia,,,,,2200000,,664242069,15.95%,,,,,,,,33.9,35.5
Katowice,,Poland,Europe,,,,,2190000,,1029890277,24.73%,,,,,,,,50.3,19
Indore,Madhya Pradesh,India,Asia,,,,,2170295,,196812467,4.73%,,,,,,,,22.7,75.86
Adana,,Turkey,Asia,,,,,2165595,,767356561,18.43%,,,,,,,,37,35.3
Coimbatore,Tamil Nadu,India,Asia,,,,,2136916,,34790969,0.84%,,,,,,,,11,77
Aleppo,,Syria,Asia,,,,,2132100,,738044495,17.72%,,,,,,,,36.2,37.15
Kochi,Kerala,India,Asia,,,,,2119724,,19183071,0.46%,,,,,,,,9.97,76.28
Huaibei,Anhui,China,Asia,,120,,0,2114276,0,666356345,16.00%,,,,,,,,34,116.75
Konya,,Turkey,Asia,,,,,2108808,,806015656,19.36%,,,,,,,,37.85,32.5
Köln-Bonn,,Germany,Europe,,,,,2104000,,1035955277,24.88%,,,,,,,,50.9,6.95
Al-Ahsa,,Saudi Arabia,Asia,,,,,2100000,,355146401,8.53%,,,,,,,,25.4,49.6
Brussels,,Belgium,Europe,,,,,2089000,,1032995277,24.81%,,,,,,,,50.8,4.4
Hamburg,,Germany,Europe,,,,,2087000,,1085106156,26.06%,,,,,,,,53.5,10.05
Patna,Bihar,India,Asia,,,,,2049156,,360361753,8.65%,,,,,,,,25.6,85.1
Haikou,Hainan,China,Asia,,127,,0,2046189,0,122272020,2.94%,,,,,,,Yes,20,110.15
Yiwu,Zhejiang,China,Asia,,128,120,0.94,2038400,244608000,440647644,10.58%,,,,,,,,29.25,120
Baotou,Inner Mongolia,China,Asia,,129,,0,2034996,0,907022785,21.78%,,,,,,,Yes,40.6,109.85
Kozhikode,Kerala,India,Asia,,,,,2028399,,38518428,0.92%,,,,,,,,11.25,75.78
Liuzhou,Guangxi,China,Asia,,131,,0,1998950,0,295555440,7.10%,,,,,,,,24.3333,109.4
Anyang,Henan,China,Asia,,132,,0,1995760,0,735912395,17.67%,,,,,,,Yes,36.1,114.4
München,,Germany,Europe,,,,,1981000,,1007752062,24.20%,,,,,,,,48,11.5
Hohhot,Inner Mongolia,China,Asia,,134,,0,1980774,0,911566354,21.89%,,,,,,,,40.8,111.75
Tashkent,,Uzbekistan,Asia,,,,,1978028,,940698836,22.59%,,,,,,,,41.25,69.25
Jilin City,Jilin,China,Asia,,136,,0,1975803,0,973355686,23.37%,,,,,,,,43.85,126.5
Putian,Fujian,China,Asia,,137,,0,1953801,0,357100202,8.58%,,,,,,,,25.4,119
Hai Phong,,Vietnam,Asia,,,,,1946000,,125779829,3.02%,,,,,,,,20.85,106.7
Huainan,Anhui,China,Asia,,139,,0,1938212,0,646209429,15.52%,,,,,,,,32.6,117
Sana'a,,Yemen,Asia,,,,,1937451,,75338093,1.81%,,,,,,,,15.3333,44.2
Mecca,,Saudi Arabia,Asia,,,,,1919900,,144355925,3.47%,,,,,,,,21.4,39.8
Frankfurt,,Germany,Europe,,,,,1915000,,1025630277,24.63%,,,,,,,,50.1,8.7
Leeds,,United Kingdom,Europe,,,,,1893000,,1086999156,26.10%,,,,,,,,53.8,-1.6
Gaziantep,,Turkey,Asia,,,,,1889466,,769246027,18.47%,,,,,,,,37.0666,37.4
Bhopal,Madhya Pradesh,India,Asia,,,,,1886100,,256636241,6.16%,,,,,,,,23.25,77.4
Xiangtan,Hunan,China,Asia,,146,50,0.34,1875300,93765000,393237777,9.44%,,,,,Changsha,,,27.85,113
Yantai,Shandong,China,Asia,,147,,0,1870600,0,777303810,18.67%,,,,,,,,37.5,121.5
Nanchong,Sichuan,China,Asia,,148,,0,1868875,0,545997591,13.11%,,,,,,,,30.8,106.1
Thrissur,Kerala,India,Asia,,,,,1861269,,22282640,0.54%,,,,,,,,10.52,76.21
Bucharest,,Romania,Europe,,,,,1860000,,979600801,23.52%,,,,,,,,44.5,26.1
Luoyang,Henan,China,Asia,,151,,0,1856877,0,690972047,16.59%,,,,,,,,34.6,112.5
Şanlıurfa,,Turkey,Asia,,,,,1845667,,771091694,18.52%,,,,,,,,37.15,38.8
Vadodara,Gujarat,India,Asia,,,,,1822221,,153140792,3.68%,,,,,,,,22.3,73.2
Nanyang,Henan,China,Asia,,154,,0,1811732,0,651341643,15.64%,,,,,,,,33,112.5
Peshawar,KPK,Pakistan,Asia,,,,,1785000,,668141345,16.04%,,,,,,,,34,71.55
Wien,,Austria,Europe,,,,,1763000,,1009515062,24.24%,,,,,,,,48.2,16.45
Agra,Uttar Pradesh,India,Asia,,,,,1760285,,390359192,9.37%,,,,,,,,27.18,78.02
Isfahan,Isfahan,Iran,Asia,,,,,1756126,,647965555,15.56%,,,,,,,,32.6,51.65
Visakhapatnam,Andhra Pradesh,India,Asia,,,,,1728128,,92437411,2.22%,,,,,,,,17.7,83.2
Kocaeli[Note 2],,Turkey,Asia,,,,,1722795,,909585580,21.84%,,,,,,,,40.75,29.9
Mersin[Note 1],,Turkey,Asia,,,,,1722255,,765190966,18.38%,,,,,,,,36.8,34.6
Warsaw,,Poland,Europe,,,,,1720000,,1065764277,25.59%,,,,,,,,52.2,21.1
Budapest,,Hungary,Europe,,,,,1710000,,1004399062,24.12%,,,,,,,,47.45,19
Almaty,,Kazakhstan,Asia,,,,,1703481,,964331168,23.16%,,,,,,,,43.26,76.9
Malappuram,Kerala,India,Asia,,,,,1699060,,36490029,0.88%,,,,,,,,11.041,76.083
Thiruvananthapuram,Kerala,India,Asia,,,,,1679754,,14487054,0.35%,,,,,,,,8.5,76.95
Kannur,Kerala,India,Asia,,,,,1640986,,41661139,1.00%,,,,,,,,11.8689,73.3555
Diyarbakır,,Turkey,Asia,,,,,1635048,,816238456,19.60%,,,,,,,,37.91,40.24
Stockholm,,Sweden,Europe,,,,,1630000,,1114406066,26.76%,,,,,,,,59.2,18
Amsterdam,,Netherlands,Europe,,,,,1624000,,1067388277,25.63%,,,,,,,,52.3333,4.9
Ludhiana,Punjab,India,Asia,,,,,1618879,,547616470,13.15%,,,,,,,,30.91,75.85
Karaj,Alborz,Iran,Asia,,,,,1614626,,722378110,17.35%,,,,,,,,35.9,51
Lyon,,France,Europe,,,,,1583000,,988806801,23.75%,,,,,,,,45.75,4.9
Nashik,Maharashtra,India,Asia,,,,,1561809,,123833829,2.97%,,,,,,,,20,73.78
Valencia,,Spain,Europe,,,,,1561000,,861286012,20.68%,,,,,,,,39.5,-0.3333
Muscat,,Oman,Asia,,,,,1560000,,270947062,6.51%,,,,,,,,23.6,58.6
Sargodha,Punjab,Pakistan,Asia,,,,,1550000,,638735465,15.34%,,,,,,,,32.1,72.75
Sevilla,,Spain,Europe,,,,,1533230,,772624924,18.55%,,,,,,,,37.4,6.1
Torino,,Italy,Europe,,,,,1521000,,981966801,23.58%,,,,,,,,45.1,7.6
Hatay,,Turkey,Asia,,,,,1519836,,743313705,17.85%,,,,,,,,36.4,36.15
Daejeon,none,South Korea,Asia,,,,,1518651,,756313705,18.16%,,,,,,,,36.5,127.5
Phnom Penh,,Cambodia,Asia,,,,,1501725,,40020153,0.96%,,,,,,,,11.55,104.9
Khulna,Khulna,Bangladesh,Asia,,,,,1500000,,201489917,4.84%,,,,,,,,22.8,89.55
Abu Dhabi,,United Arab Emirates,Asia,,,,,1500000,,300586787,7.22%,,,,,,,,24.5,54.4
Tbilisi,,Georgia,Asia,,,,,1485293,,943454118,22.66%,,,,,,,,41.7,44.8
Tabriz,East Azerbaijan,Iran,Asia,,,,,1484988,,818755436,19.66%,,,,,,,,38.06,46.3
Vijayawada,Andhra Pradesh,India,Asia,,,,,1476931,,77822724,1.87%,,,,,,,,16.5193,80.6305
Porto,,Portugal,Europe,,,,,1474000,,933365808,22.41%,,,,,,,,41.16,-8.6
Novosibirsk,Novosibirsk Oblast,Russia,Asia,,,,,1473754,,1092244345,26.23%,,,,,,,,55.05,82.9
Gwangju,none,South Korea,Asia,,,,,1466516,,703244775,16.89%,,,,,,,,35.16,126.9
Madurai,Tamil Nadu,India,Asia,,,,,1465625,,17063347,0.41%,,,,,,,,9.9,78.1
Shiraz,Fars,Iran,Asia,,,,,1460665,,474673809,11.40%,,,,,,,,29.6,52.55
Varanasi,Uttar Pradesh,India,Asia,,,,,1432280,,348205401,8.36%,,,,,,,,25.28,82.96
Meerut,Uttar Pradesh,India,Asia,,,,,1420902,,438609244,10.53%,,,,,,,,28.99,77.7
Damascus,,Syria,Asia,,,,,1414913,,657342069,15.79%,,,,,,,,33.5,36.3
Faridabad,Haryana,India,Asia,,,,,1414050,,411085429,9.87%,,,,,,,,28.4211,77.3078
Marseilles,,France,Europe,,,,,1397000,,965728168,23.19%,,,,,,,,43.3,5.4
Rajkot,Gujarat,India,Asia,,,,,1390640,,154531432,3.71%,,,,,,,,22.3,70.7833
Stuttgart,,Germany,Europe,,,,,1379000,,1010894062,24.28%,,,,,,,,48.7,9.2
Ulaanbaatar,,Mongolia,Asia,,,,,1372000,,1005771062,24.15%,,,,,,,,47.9,106.9
Manisa,Manisa,Turkey,Asia,,,,,1367905,,828280543,19.89%,,,,,,,,38.6,27.4
Doha,,Qatar,Asia,,,,,1351000,,349556401,8.39%,,,,,,,,25.3,51.55
Yekaterinburg,Sverdlovsk,Russia,Europe,,,,,1349772,,1111034904,26.68%,,,,,,,,56.85,60.6
Jamshedpur,Jharkhand,India,Asia,,,,,1339438,,202829355,4.87%,,,,,,,,22.8,86.2
Kayseri,,Turkey,Asia,,,,,1322376,,833715991,20.02%,,,,,,,,38.75,35.5
Sofia,,Bulgaria,Europe,,,,,1316557,,960940287,23.08%,,,,,,,,42.7,23.3
Prague,,Czech Republic,Europe,,,,,1310000,,1026940277,24.66%,,,,,,,,50.1,14.45
Yinchuan,Ningxia,China,Asia,,208,,0,1290170,0,824771896,19.81%,,,,,,,Yes,38.5,106.16
Medina,,Saudi Arabia,Asia,,,,,1271800,,293556490,7.05%,,,,,,,,24.25,39.6
Samsun,,Turkey,Asia,,,,,1269989,,941968825,22.62%,,,,,,,,41.25,36.33333
Jabalpur,Madhya Pradesh,India,Asia,,,,,1268848,,210455896,5.05%,,,,,,,,23.16,79.95
Srinagar,Jammu and Kashmir,India,Asia,,,,,1264202,,669405547,16.08%,,,,,,,,34.1,74.8
Nizhny Novgorod,,Russia,,,,,,1250619,,1109685132,26.65%,,,,,,,,56.33,44
Asansol,West Bengal,India,Asia,,,,,1243414,,272190476,6.54%,,,,,,,,23.68,86.99
Can tho,,Vietnam,Asia,,,,,1238300,,20421371,0.49%,,,,,,,,10,105.8
Copenhagen,,Denmark,Europe,,,,,1231000,,1106108978,26.56%,,,,,,,,55.75,12.45
Basra,Basra,Iraq,Asia,,,,,1225793,,523847473,12.58%,,,,,,,,30.5,47.8
Mandalay,Mandalay Region,Burma,Asia,,,,,1225546,,150667671,3.62%,,,,,,,,21.95,96.1
Vasai-Virar,Maharashtra,India,Asia,,,,,1222390,,117872422,2.83%,,,,,,,,19.47,72.8
Allahabad,Uttar Pradesh,India,Asia,,,,,1212395,,358312597,8.60%,,,,,,,,25.45,81.85
Baghdad,Baghdad,Iraq,Asia,,,,,1211934,,652874683,15.68%,,,,,,,,33.33333,44.4
Helsinki,,Finland,Europe,,,,,1203000,,1120488632,26.91%,,,,,,,,60.25,25.1
Xining,Qinghai,China,Asia,,,,#DIV/0!,1198304,0,759030660,18.23%,,,,,,,Yes,36.6,101.76
Dhanbad,Jharkhand,India,Asia,,,,,1196214,,292284690,7.02%,,,,,,,,23.8,86.45
Aurangabad,Maharashtra,India,Asia,,,,,1193167,,120225831,2.89%,,,,,,,,19.88,75.32
Balıkesir,,Turkey,Asia,,,,,1189057,,865662240,20.79%,,,,,,,,39.6,27.9
Amritsar,Punjab,India,Asia,,,,,1183549,,604084306,14.51%,,,,,,,,31.64,74.86
Glasgow,,United Kingdom,Europe,,,,,1182000,,1108434513,26.62%,,,,,,,,55.85,-4.3333
Samara,,Russia,,,,,,1164685,,1078358156,25.90%,,,,,,,,53.2,50.1
Naypyidaw (Nay Pyi Taw),Naypyidaw Union Territory,Burma,Asia,,,,,1160242,,119032664,2.86%,,,,,,,,19.75,96.1
Dublin,,Ireland,Europe,,,,,1158000,,1079516156,25.92%,,,,,,,,53.3333,6.33333
Omsk,,Russia,,,,,,1154116,,1089990591,26.17%,,,,,,,,55,73.4
Kazan,,Russia,,,,,,1143535,,1107252513,26.59%,,,,,,,,55.8,49.1
Quetta,Balochistan,Pakistan,Asia,,,,,1140000,,482964829,11.60%,,,,,,,,30.15,67
Jodhpur,Rajasthan,India,Asia,,,,,1138300,,376692169,9.05%,,,,,,,,26.28,73.02
Ulsan,none,South Korea,Asia,,,,,1136948,,706741360,16.97%,,,,,,,,35.55,129.33
Chelyabinsk,,Russia,,,,,,1130132,,1093374477,26.26%,,,,,,,,55.15,61.4
Jerusalem,,Israel,Asia,,,,,1124300,,615032154,14.77%,,,,,,,,31.8,35.2
Raipur,Chhattisgarh,India,Asia,,,,,1123558,,142436025,3.42%,,,,,,,,21.25,81.63
Ranchi,Jharkhand,India,Asia,,,,,1120374,,269387062,6.47%,,,,,,,,23.36,85.33
Gwalior,Madhya Pradesh,India,Asia,,,,,1117740,,375553869,9.02%,,,,,,,,26.22,78.178
Ahvaz,Khuzestan,Iran,Asia,,,,,1112021,,585231438,14.05%,,,,,,,,31.2,48.66666
Kollam,Kerala,India,Asia,,,,,1110668,,15597722,0.37%,,,,,,,,8.88,76.6
Ta'if,,Saudi Arabia,Asia,,,,,1109800,,145465725,3.49%,,,,,,,,21.45,40.3333
Bien Hoa,,Vietnam,Asia,,,,,1104495,,32654053,0.78%,,,,,,,,10.95,106.8
Changwon,South Gyeongsang,South Korea,Asia,,,,,1091733,,704711291,16.92%,,,,,,,,35.25,128.65
Van,,Turkey,Asia,,,,,1089542,,825861438,19.83%,,,,,,,,38.5,43.4
Rostov-on-Don,,Russia,,,,,,1089261,,1002689062,24.08%,,,,,,,,47.25,39.7
Kahramanmaraş,,Turkey,Asia,,,,,1089038,,778392848,18.69%,,,,,,,,37.5,36.9
Qom,Qom,Iran,Asia,,,,,1074036,,692046083,16.62%,,,,,,,,34.6,50.9
Durg-Bhilainagar,Chhattisgarh,India,Asia,,,,,1064222,,141312467,3.39%,,,,,,,,21.21,81.38
Ufa,,Russia,,,,,,1062319,,1088836475,26.15%,,,,,,,,54.75,56
Yerevan,,Armenia,Asia,,,,,1060138,,896161989,21.52%,,,,,,,,40.2,44.5
