Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Zhengzhou,Henan,China,Asia,,53,370,6.98,4867388,1800933560,668868812,16.06%,,,,,Jinan,,,34.75,113.6666
Islamabad,Islamabad,Pakistan,Asia,,,,,4700000,,673736200,16.18%,,,,,,,,33.75,73.1
Surat,Gujarat,India,Asia,,,,,4591246,,678436200,16.29%,,,,,,,,21.15,72.8
Fuzhou,Fujian,China,Asia,,56,200,3.57,4468076,893615200,683027446,16.40%,,,,,Quanzhou,,,26.1,119.2
İzmir,,Turkey,Asia,,,,,4113072,,687495522,16.51%,,,,,,,,38.7,27.25
Nanchang,Jiangxi,China,Asia,,58,300,5.17,4107962,1232388600,691608594,16.61%,,,,,Changsha,,,28.666,115.9
Dalian,Liaoning,China,Asia,,59,390,6.61,4087733,1594215870,695716556,16.71%,,,,,Shenyang,,,38.9,121.5
Faisalabad,Punjab,Pakistan,Asia,,,,,4075000,,699804289,16.81%,,,,,,,,31.5,73.1
Taiyuan,Shanxi,China,Asia,,61,437,7.16,4062173,1775169601,703879289,16.90%,,,,,Zhengzhou,,Yes,37.9,112.5
Chittagong,Chittagong,Bangladesh,Asia,,,,,4009423,,707941462,17.00%,,,,,,,,22.333,91.8
Amman,,Jordan,Asia,,,,,4007526,,711950885,17.10%,,,,,,,,31.95,35.95
Shijiazhuang,Hebei,China,Asia,,64,260,4.06,3995290,1038775400,715958411,17.19%,,,,,Tianjin,,Yes,38.1,114.5
Jeddah,,Saudi Arabia,Asia,,,,,3976400,,719953701,17.29%,,,,,,,,21.5,39.15
Roma,,Italy,Europe,,,,,3906000,,723930101,17.38%,,,,,,,,41.9,12.5
Tel Aviv,,Israel,Asia,,,,,3785000,,727836101,17.48%,,,,,,,,32.06,34.8
Napoli,,Italy,Europe,,,,,3706000,,731621101,17.57%,,,,,,,,40.85,14.25
Kunming,Yunnan,China,Asia,,69,700,10.14,3583429,2508400300,735327101,17.66%,,,,,Yunnan,,Yes,24.9,102.8
Busan,none,South Korea,Asia,,,,,3548640,,738910530,17.74%,,,,,,,,35.15,129.0666
Wuxi,Jiangsu,China,Asia,,71,120,1.69,3542319,425078280,742459170,17.83%,,,,,Shanghai,,,31.5,120.3333
Xiamen,Fujian,China,Asia,,72,100,1.39,3531347,353134700,746001489,17.91%,,,,,Quanzhou,,,24.5,118
Changchun,Jilin,China,Asia,,73,240,3.29,3530115,847227600,749532836,18.00%,,,,,Harbin,,Yes,43.9,125.25
Ningbo,Zhejiang,China,Asia,,74,150,2.03,3491597,523739550,753062951,18.08%,,,,,Hangzhou,,,29.9,121.5
Hyderabad,Sindh,Pakistan,Asia,,,,,3490000,,#REF!,#REF!,,,,,,,,25.4,68.35
Zibo,Shandong,China,Asia,,76,100,1.32,3484800,348480000,760044548,18.25%,,,,,Jinan,,,36.8,118
Athens,,Greece,Europe,,,,,3484000,,763529348,18.34%,,,,,,,,37.9,23.6
Hefei,Anhui,China,Asia,,78,150,1.92,3352076,502811400,767013348,18.42%,,,,,Nanjing,,Yes,31.8,117.25
Changzhou,Jiangsu,China,Asia,,79,130,1.65,3290548,427771240,770365424,18.50%,,,,,Nanjing,,,31.8,120
Kabul,,Afghanistan,Asia,,,,,3289000,,773655972,18.58%,,,,,,,,34.5,69.15
Taizhou,Zhejiang,China,Asia,,81,130,1.6,3269300,425009000,776944972,18.66%,,,,,Wenzhou,,,28.666667,121.45
Pyongyang,,North Korea,Asia,,,,,3255288,,780214272,18.74%,,,,,,,,39,125.75
Tangshan,Hebei,China,Asia,,83,120,1.45,3187171,382460520,783469560,18.81%,,,,,Tianjin,,,39.6,118.25
Nantong,Jiangsu,China,Asia,,84,100,1.19,3180924,318092400,786656731,18.89%,,,,,Changzhou,,,31.8,120
Nanning,Guangxi,China,Asia,,85,500,5.88,3177450,1588725000,780214272,18.74%,,,,,Guangzhou,,Yes,22.8,108.3333
Multan,Punjab,Pakistan,Asia,,,,,3100000,,793015105,19.04%,,,,,,,,30.1,71.5
Jaipur,Rajasthan,India,Asia,,,,,3046163,,796115105,19.12%,,,,,,,,26.9,75.8
Guiyang,Guizhou,China,Asia,,88,320,3.64,3037159,971890880,789837655,18.97%,,,,,Chongqing,,Yes,26.6,106.6
Urumqi,Xinjiang,China,Asia,,89,2550,28.65,2988715,7621223250,802198427,19.26%,,,,,Xi'an,,Yes,43.8,87.55
Kanpur,Uttar Pradesh,India,Asia,,,,,2920496,,805187142,19.34%,,,,,,,,26.45,80.33
Lucknow,Uttar Pradesh,India,Asia,,,,,2902920,,808107638,19.41%,,,,,,,,26.8,80.9
Incheon,none,South Korea,Asia,,,,,2808286,,811010558,19.48%,,,,,,,,37.5,126.6
Bursa,,Turkey,Asia,,,,,2787539,,813818844,19.54%,,,,,,,,40.2,29.05
Mashhad,Razavi Khorasan,Iran,Asia,,,,,2749374,,816606383,19.61%,,,,,,,,36.3,59.6
Gujranwala,Punjab,Pakistan,Asia,,,,,2700000,,819355757,19.68%,,,,,,,,32.15,74.15
Lisbon,,Portugal,Europe,,,,,2666000,,822055757,19.74%,,,,,,,,38.8,-9.1
Dubai,,United Arab Emirates,Asia,,,,,2665978,,824721757,19.80%,,,,,,,,25.25,55.3
Rotterdam-The Hague,,Netherlands,Europe,,,,,2660000,,827387735,19.87%,,,,,,,,52.1,4.4
Manchester,,United Kingdom,Europe,,,,,2639000,,830047735,19.93%,,,,,,,,53.5,-2.25
Huai'an,Jiangsu,China,Asia,,100,,0,2633420,0,832686735,20.00%,,,,,,,,33.5,119
Xuzhou,Jiangsu,China,Asia,,101,,0,2623066,0,835320155,20.06%,,,,,,,,34.15,117.25
Linyi,Shandong,China,Asia,,102,,0,2600200,0,837943221,20.12%,,,,,,,,35.1,118.34
Birmingham,,United Kingdom,Europe,,,,,2512000,,840543421,20.18%,,,,,,,,52.5,-1.9
Daegu,none,South Korea,Asia,,,,,2508563,,843055421,20.25%,,,,,,,,35.9,128.6
Nagpur,Maharashtra,India,Asia,,,,,2497870,,845563984,20.31%,,,,,,,,21.15,79.09
Lanzhou,Gansu,China,Asia,,106,,0,2492325,0,845563984,20.31%,,,,,,,Yes,36.1,103.85
Georgetown,,Malaysia,Asia,,,,,2412616,,852966795,20.48%,,,,,,,,5.4,100.3
Kuwait city,,Kuwait,Asia,,,,,2400000,,852966795,20.48%,,,,,,,,29.4,47.95
Yangzhou,Jiangsu,China,Asia,,109,,0,2399079,0,855366795,20.54%,,,,,,,,32.33,119.45
Ghaziabad,Uttar Pradesh,India,Asia,,,,,2375820,,857765874,20.60%,,,,,,,,28.67,77.42
Anshan,Liaoning,China,Asia,,111,,0,2242436,0,860141694,20.66%,,,,,,,,41.1,123
Baku,,Azerbaijan,Asia,,,,,2225800,,862384130,20.71%,,,,,,,,40.4,49.9
Antalya,,Turkey,Asia,,,,,2222562,,864609930,20.76%,,,,,,,,35.9,30.7
Beirut,,Lebanon,Asia,,,,,2200000,,866832492,20.82%,,,,,,,,33.9,35.5
Katowice,,Poland,Europe,,,,,2190000,,869032492,20.87%,,,,,,,,50.3,19
Indore,Madhya Pradesh,India,Asia,,,,,2170295,,871222492,20.92%,,,,,,,,22.7,75.86
Adana,,Turkey,Asia,,,,,2165595,,873392787,20.97%,,,,,,,,37,35.3
Coimbatore,Tamil Nadu,India,Asia,,,,,2136916,,875558382,21.03%,,,,,,,,11,77
Aleppo,,Syria,Asia,,,,,2132100,,877695298,21.08%,,,,,,,,36.2,37.15
Kochi,Kerala,India,Asia,,,,,2119724,,879827398,21.13%,,,,,,,,9.97,76.28
Huaibei,Anhui,China,Asia,,121,,0,2114276,0,881947122,21.18%,,,,,,,,34,116.75
Konya,,Turkey,Asia,,,,,2108808,,884061398,21.23%,,,,,,,,37.85,32.5
Köln-Bonn,NordRhein Westfalen,Germany,Europe,,,,,2104000,,886170206,21.28%,,,,,,,,50.9,6.95
Al-Ahsa,,Saudi Arabia,Asia,,,,,2100000,,888274206,21.33%,,,,,,,,25.4,49.6
Brussels,,Belgium,Europe,,,,,2089000,,890374206,21.38%,,,,,,,,50.8,4.4
Hamburg,Hamburg,Germany,Europe,,,,,2087000,,892463206,21.43%,,,,,,,,53.5,10.05
Patna,Bihar,India,Asia,,,,,2049156,,894550206,21.48%,,,,,,,,25.6,85.1
Haikou,Hainan,China,Asia,,128,,0,2046189,0,896599362,21.53%,,,,,,,Yes,20,110.15
Yiwu,Zhejiang,China,Asia,,129,120,0.93,2038400,244608000,898645551,21.58%,,,,,,,,29.25,120
Baotou,Inner Mongolia,China,Asia,,130,,0,2034996,0,900683951,21.63%,,,,,,,Yes,40.6,109.85
Kozhikode,Kerala,India,Asia,,,,,2028399,,902718947,21.68%,,,,,,,,11.25,75.78
Liuzhou,Guangxi,China,Asia,,132,,0,1998950,0,904747346,21.73%,,,,,,,,24.3333,109.4
Anyang,Henan,China,Asia,,133,,0,1995760,0,906746296,21.77%,,,,,,,Yes,36.1,114.4
München,Bayern,Germany,Europe,,,,,1981000,,908742056,21.82%,,,,,,,,48,11.5
Hohhot,Inner Mongolia,China,Asia,,135,,0,1980774,0,910723056,21.87%,,,,,,,,40.8,111.75
Tashkent,,Uzbekistan,Asia,,,,,1978028,,912703830,21.92%,,,,,,,,41.25,69.25
Jilin City,Jilin,China,Asia,,137,,0,1975803,0,914681858,21.97%,,,,,,,,43.85,126.5
Putian,Fujian,China,Asia,,138,,0,1953801,0,916657661,22.01%,,,,,,,,25.4,119
Hai Phong,,Vietnam,Asia,,,,,1946000,,918611462,22.06%,,,,,,,,20.85,106.7
Huainan,Anhui,China,Asia,,140,,0,1938212,0,920557462,22.11%,,,,,,,,32.6,117
Sana'a,,Yemen,Asia,,,,,1937451,,922495674,22.15%,,,,,,,,15.3333,44.2
Mecca,,Saudi Arabia,Asia,,,,,1919900,,924433125,22.20%,,,,,,,,21.4,39.8
Frankfurt,Hesse,Germany,Europe,,,,,1915000,,926353025,22.25%,,,,,,,,50.1,8.7
Leeds,,United Kingdom,Europe,,,,,1893000,,928268025,22.29%,,,,,,,,53.8,-1.6
Gaziantep,,Turkey,Asia,,,,,1889466,,930161025,22.34%,,,,,,,,37.0666,37.4
Bhopal,Madhya Pradesh,India,Asia,,,,,1886100,,932050491,22.38%,,,,,,,,23.25,77.4
Xiangtan,Hunan,China,Asia,,147,50,0.34,1875300,93765000,933936591,22.43%,,,,,Changsha,,,27.85,113
Yantai,Shandong,China,Asia,,148,,0,1870600,0,935811891,22.47%,,,,,,,,37.5,121.5
Nanchong,Sichuan,China,Asia,,149,,0,1868875,0,937682491,22.52%,,,,,,,,30.8,106.1
Thrissur,Kerala,India,Asia,,,,,1861269,,939551366,22.56%,,,,,,,,10.52,76.21
Bucharest,,Romania,Europe,,,,,1860000,,941412635,22.61%,,,,,,,,44.5,26.1
Luoyang,Henan,China,Asia,,152,,0,1856877,0,943272635,22.65%,,,,,,,,34.6,112.5
Şanlıurfa,,Turkey,Asia,,,,,1845667,,945129512,22.70%,,,,,,,,37.15,38.8
Vadodara,Gujarat,India,Asia,,,,,1822221,,946975179,22.74%,,,,,,,,22.3,73.2
Nanyang,Henan,China,Asia,,155,,0,1811732,0,948797400,22.78%,,,,,,,,33,112.5
Johor Bahru,,Malaysia,Asia,,,,,1800000,,952409132,22.87%,,,,,,,,1.5,103.75
Baoding,Hebei,China,Asia,,,,,1789550,,952409132,22.87%,,,,,,,,40.3333,109.85
Peshawar,KPK,Pakistan,Asia,,,,,1785000,,954198682,22.91%,,,,,,,,34,71.55
Fuyang,Anhui,China,Asia,,,,,1768947,,955983682,22.96%,,,,,,,,32.9,115.8
Wien,,Austria,Europe,,,,,1763000,,957752629,23.00%,,,,,,,,48.2,16.45
Agra,Uttar Pradesh,India,Asia,,,,,1760285,,959515629,23.04%,,,,,,,,27.18,78.02
Isfahan,Isfahan,Iran,Asia,,,,,1756126,,961275914,23.08%,,,,,,,,32.6,51.65
Tai'an,Shandong,China,Asia,,,,,1735500,,963032040,23.13%,,,,,,,,36.2,117.1
Visakhapatnam,Andhra Pradesh,India,Asia,,,,,1728128,,964767540,23.17%,,,,,,,,17.7,83.2
Kocaeli[Note 2],,Turkey,Asia,,,,,1722795,,966495668,23.21%,,,,,,,,40.75,29.9
Mersin[Note 1],,Turkey,Asia,,,,,1722255,,968218463,23.25%,,,,,,,,36.8,34.6
Warsaw,,Poland,Europe,,,,,1720000,,969940718,23.29%,,,,,,,,52.2,21.1
Budapest,,Hungary,Europe,,,,,1710000,,971660718,23.33%,,,,,,,,47.45,19
Almaty,,Kazakhstan,Asia,,,,,1703481,,973370718,23.37%,,,,,,,,43.26,76.9
Malappuram,Kerala,India,Asia,,,,,1699060,,975074199,23.42%,,,,,,,,11.041,76.083
Thiruvananthapuram,Kerala,India,Asia,,,,,1679754,,976773259,23.46%,,,,,,,,8.5,76.95
Suzhou,Anhui,China,Asia,,,,,1647642,,978453013,23.50%,,,,,,,,31.25,120.6
Lu'an,Anhui,China,Asia,,,,,1644344,,980100655,23.54%,,,,,,,,31.75,116.5
Kannur,Kerala,India,Asia,,,,,1640986,,981744999,23.58%,,,,,,,,11.8689,73.3555
Diyarbakır,,Turkey,Asia,,,,,1635048,,983385985,23.61%,,,,,,,,37.91,40.24
Stockholm,,Sweden,Europe,,,,,1630000,,985021033,23.65%,,,,,,,,59.2,18
Datong,Shanxi,China,Asia,,,,,1629035,,986651033,23.69%,,,,,,,,40.06,113.3
Amsterdam,,Netherlands,Europe,,,,,1624000,,988280068,23.73%,,,,,,,,52.3333,4.9
Ludhiana,Punjab,India,Asia,,,,,1618879,,989904068,23.77%,,,,,,,,30.91,75.85
Yancheng,Jiangsu,China,Asia,,,,,1615717,,991522947,23.81%,,,,,,,,33.33333,120.15
Karaj,Alborz,Iran,Asia,,,,,1614626,,993138664,23.85%,,,,,,,,35.9,51
Zhanjiang,Guangdong,China,Asia,,,,,1612300,,994753290,23.89%,,,,,,,,21.25,110.33333
Tengzhou,Shandong,China,Asia,,,,,1603700,,996365590,23.93%,,,,,,,,35.1,117.15
Huangshi,Hubei,China,Asia,,,,,1601687,,997969290,23.97%,,,,,,,,30.2,115
Jiangyin,Jiangsu,China,Asia,,,,,1594829,,999570977,24.00%,,,,,,,,32,120.25
Lyon,,France,Europe,,,,,1583000,,1001165806,24.04%,,,,,,,,45.75,4.9
Nashik,Maharashtra,India,Asia,,,,,1561809,,1002748806,24.08%,,,,,,,,20,73.78
Valencia,,Spain,Europe,,,,,1561000,,1004310615,24.12%,,,,,,,,39.5,-0.3333
Muscat,,Oman,Asia,,,,,1560000,,1005871615,24.15%,,,,,,,,23.6,58.6
Qiqihar,Heilongjiang,China,Asia,,,,,1559517,,1007431615,24.19%,,,,,,,,47.33333,123.9
Sargodha,Punjab,Pakistan,Asia,,,,,1550000,,1008991132,24.23%,,,,,,,,32.1,72.75
Sevilla,,Spain,Europe,,,,,1533230,,1010541132,24.27%,,,,,,,,37.4,6.1
Weifang,Shandong,China,Asia,,,,,1521600,,1012074362,24.30%,,,,,,,,36.7,119.15
Torino,,Italy,Europe,,,,,1521000,,1013595962,24.34%,,,,,,,,45.1,7.6
Hatay,,Turkey,Asia,,,,,1519836,,1015116962,24.38%,,,,,,,,36.4,36.15
Daejeon,none,South Korea,Asia,,,,,1518651,,1016636798,24.41%,,,,,,,,36.5,127.5
Yinchuan,Ningxia,China,Asia,,197,,0,1513151,0,1018155449,24.45%,,,,,,,Yes,38.5,106.16
Changshu,Jiangsu,China,Asia,,,,,1510103,,1019668600,24.49%,,,,,,,,31.6666666,120.75
Phnom Penh,,Cambodia,Asia,,,,,1501725,,1021178703,24.52%,,,,,,,,11.55,104.9
Khulna,Khulna,Bangladesh,Asia,,,,,1500000,,1022680428,24.56%,,,,,,,,22.8,89.55
Abu Dhabi,,United Arab Emirates,Asia,,,,,1500000,,1024180428,24.59%,,,,,,,,24.5,54.4
Tbilisi,,Georgia,Asia,,,,,1485293,,1025680428,24.63%,,,,,,,,41.7,44.8
Tabriz,East Azerbaijan,Iran,Asia,,,,,1484988,,1027165721,24.67%,,,,,,,,38.06,46.3
Vijayawada,Andhra Pradesh,India,Asia,,,,,1476931,,1028650709,24.70%,,,,,,,,16.5193,80.6305
Porto,,Portugal,Europe,,,,,1474000,,1030127640,24.74%,,,,,,,,41.16,-8.6
Novosibirsk,Novosibirsk Oblast,Russia,Asia,,,,,1473754,,1031601640,24.77%,,,,,,,,55.05,82.9
Dengzhou,Henan,China,Asia,,,,,1468061,,1033075394,24.81%,,,,,,,,32.7,112.1
Gwangju,none,South Korea,Asia,,,,,1466516,,1034543455,24.84%,,,,,,,,35.16,126.9
Madurai,Tamil Nadu,India,Asia,,,,,1465625,,1036009971,24.88%,,,,,,,,9.9,78.1
Cixi,Zhejiang,China,Asia,,,,,1462383,,1037475596,24.91%,,,,,,,,30.16,121.25
Shiraz,Fars,Iran,Asia,,,,,1460665,,1038937979,24.95%,,,,,,,,29.6,52.55
Changde,Hunan,China,Asia,,,,,1458536,,1040398644,24.98%,,,,,,,,29,111.7
Pizhou,Jiangsu,China,Asia,,,,,1458036,,1041857180,25.02%,,,,,,,,34.33333,118
Baoji,Shaanxi,China,Asia,,,,,1437802,,1043315216,25.05%,,,,,,,,34.3333,107.25
Suqian,Jiangsu,China,Asia,,,,,1437686,,1044753018,25.09%,,,,,,,,34,118.25
Varanasi,Uttar Pradesh,India,Asia,,,,,1432280,,1046190704,25.12%,,,,,,,,25.28,82.96
Meerut,Uttar Pradesh,India,Asia,,,,,1420902,,1047622984,25.16%,,,,,,,,28.99,77.7
Daqing,Heilongjiang,China,Asia,,,,,1415268,,1049043886,25.19%,,,,,,,,46.6,125.1
Damascus,,Syria,Asia,,,,,1414913,,1050459154,25.23%,,,,,,,,33.5,36.3
Faridabad,Haryana,India,Asia,,,,,1414050,,1051874067,25.26%,,,,,,,,28.4211,77.3078
Bozhou,Anhui,China,Asia,,,,,1409436,,1053288117,25.29%,,,,,,,,33.85,115.75
Handan,Hebei,China,Asia,,,,,1403439,,1054697553,25.33%,,,,,,,,36.6,114.5
Marseilles,,France,Europe,,,,,1397000,,1056100992,25.36%,,,,,,,,43.3,5.4
Panjin,Liaoning,China,Asia,,,,,1392493,,1057497992,25.39%,,,,,,,,41.1,122.06
Rajkot,Gujarat,India,Asia,,,,,1390640,,1058890485,25.43%,,,,,,,,22.3,70.7833
Stuttgart,Baden-Württemburg,Germany,Europe,,,,,1379000,,1060281125,25.46%,,,,,,,,48.7,9.2
Ulaanbaatar,,Mongolia,Asia,,,,,1372000,,1061660125,25.49%,,,,,,,,47.9,106.9
Manisa,Manisa,Turkey,Asia,,,,,1367905,,1063032125,25.53%,,,,,,,,38.6,27.4
Wenling,Zhejiang,China,Asia,,,,,1366800,,1064400030,25.56%,,,,,,,,28.4,121.4
Ma'anshan,Anhui,China,Asia,,,,,1366302,,1065766830,25.59%,,,,,,,,31.66666,118.5
Zigong,Sichuan,China,Asia,,,,,1362062,,1067133132,25.63%,,,,,,,,29.333333,104.75
Mianyang,Sichuan,China,Asia,,,,,1355331,,1068495194,25.66%,,,,,,,,31.5,104.666666
Yingkou,Liaoning,China,Asia,,,,,1351519,,1069850525,25.69%,,,,,,,,40.66666,122.25
Doha,,Qatar,Asia,,,,,1351000,,1071202044,25.72%,,,,,,,,25.3,51.55
Yichang,Hubei,China,Asia,,,,,1350150,,1072553044,25.76%,,,,,,,,30.7,111.25
Yekaterinburg,Sverdlovsk,Russia,Europe,,,,,1349772,,1073903194,25.79%,,,,,,,,56.85,60.6
Heze,Shandong,China,Asia,,,,,1346700,,1075252966,25.82%,,,,,,,,35.2,115.5
Jamshedpur,Jharkhand,India,Asia,,,,,1339438,,1076599666,25.85%,,,,,,,,22.8,86.2
Chifeng,Inner Mongolia,China,Asia,,,,,1333526,,1077939104,25.89%,,,,,,,,42.25,118.9
Guilin,Guangxi,China,Asia,,,,,1326470,,,,,,,,,,,25.25,110.16
Kayseri,,Turkey,Asia,,,,,1322376,,1080599100,25.95%,,,,,,,,38.75,35.5
Sofia,,Bulgaria,Europe,,,,,1316557,,1081921476,25.98%,,,,,,,,42.7,23.3
Prague,,Czech Republic,Europe,,,,,1310000,,1083238033,26.01%,,,,,,,,50.1,14.45
Xiangyang,Hubei,China,Asia,,,,,1294732,,983385985,23.61%,,,,,,,,32,112.1
Haicheng,Liaoning,China,Asia,,,,,1293877,,986651033,23.69%,,,,,,,,40.9,122.6666
Medina,,Saudi Arabia,Asia,,,,,1271800,,1087136642,26.11%,,,,,,,,24.25,39.6
Samsun,,Turkey,Asia,,,,,1269989,,1088408442,26.14%,,,,,,,,41.25,36.33333
Jabalpur,Madhya Pradesh,India,Asia,,,,,1268848,,1089678431,26.17%,,,,,,,,23.16,79.95
Rugao,Jiangsu,China,Asia,,,,,1267066,,994753290,23.89%,,,,,,,,32.333333,120.55
Xuchang,Henan,China,Asia,,,,,1265454,,997969290,23.97%,,,,,,,,34,113.9
Srinagar,Jammu and Kashmir,India,Asia,,,,,1264202,,1093479799,26.26%,,,,,,,,34.1,74.8
Neijiang,Sichuan,China,Asia,,,,,1251095,,1002748806,24.08%,,,,,,,,29.55,105.05
