Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Yancheng,Jiangsu,China,Asia,,,,,"1,615,717",,"713,701,423",17.14%,,,1387990000,,,,,,,33.33333,120.15
Zhanjiang,Guangdong,China,Asia,,,,,"1,612,300",,"715,317,140",17.18%,,,1387990000,,,,,,,21.25,110.33333
Tengzhou,Shandong,China,Asia,,,,,"1,603,700",,"716,929,440",17.22%,,,1387990000,,,,,,,35.1,117.15
Huangshi,Hubei,China,Asia,,,,,"1,601,687",,"718,533,140",17.25%,,,1387990000,,,,,,,30.2,115
Jiangyin,Jiangsu,China,Asia,,,,,"1,594,829",,"720,134,827",17.29%,,,1387990000,,,,,,,32,120.25
Qiqihar,Heilongjiang,China,Asia,,,,,"1,559,517",,"721,729,656",17.33%,,,1387990000,,,,,,,47.33333,123.9
Weifang,Shandong,China,Asia,,,,,"1,521,600",,"723,289,173",17.37%,,,1387990000,,,,,,,36.7,119.15
Yinchuan,Ningxia,China,Asia,,341,,0.00,"1,513,151",0,"724,810,773",17.41%,,,1387990000,,,,,,Yes,38.5,106.16
Changshu,Jiangsu,China,Asia,,,,,"1,510,103",,"726,323,924",17.44%,,,1387990000,,,,,,,31.6666666,120.75
Dengzhou,Henan,China,Asia,,,,,"1,468,061",,"727,834,027",17.48%,,,1387990000,,,,,,,32.7,112.1
Cixi,Zhejiang,China,Asia,,,,,"1,462,383",,"729,302,088",17.51%,,,1387990000,,,,,,,30.16,121.25
Changde,Hunan,China,Asia,,,,,"1,458,536",,"730,764,471",17.55%,,,1387990000,,,,,,,29,111.7
Pizhou,Jiangsu,China,Asia,,,,,"1,458,036",,"732,223,007",17.58%,,,1387990000,,,,,,,34.33333,118
Baoji,Shaanxi,China,Asia,,,,,"1,437,802",,"733,681,043",17.62%,,,1387990000,,,,,,,34.3333,107.25
Suqian,Jiangsu,China,Asia,,,,,"1,437,686",,"735,118,845",17.65%,,,1387990000,,,,,,,34,118.25
Daqing,Heilongjiang,China,Asia,,,,,"1,415,268",,"736,556,531",17.69%,,,1387990000,,,,,,,46.6,125.1
Bozhou,Anhui,China,Asia,,,,,"1,409,436",,"737,971,799",17.72%,,,1387990000,,,,,,,33.85,115.75
Handan,Hebei,China,Asia,,,,,"1,403,439",,"739,381,235",17.76%,,,1387990000,,,,,,,36.6,114.5
Panjin,Liaoning,China,Asia,,,,,"1,392,493",,"740,784,674",17.79%,,,1387990000,,,,,,,41.1,122.06
Wenling,Zhejiang,China,Asia,,,,,"1,366,800",,"742,177,167",17.82%,,,1387990000,,,,,,,28.4,121.4
Ma'anshan,Anhui,China,Asia,,,,,"1,366,302",,"743,543,967",17.86%,,,1387990000,,,,,,,31.66666,118.5
Zigong,Sichuan,China,Asia,,,,,"1,362,062",,"744,910,269",17.89%,,,1387990000,,,,,,,29.333333,104.75
Mianyang,Sichuan,China,Asia,,,,,"1,355,331",,"746,272,331",17.92%,,,1387990000,,,,,,,31.5,104.666666
Yingkou,Liaoning,China,Asia,,,,,"1,351,519",,"747,627,662",17.95%,,,1387990000,,,,,,,40.66666,122.25
Yichang,Hubei,China,Asia,,,,,"1,350,150",,"748,979,181",17.99%,,,1387990000,,,,,,,30.7,111.25
Heze,Shandong,China,Asia,,,,,"1,346,700",,"750,329,331",18.02%,,,1387990000,,,,,,,35.2,115.5
Chifeng,Inner Mongolia,China,Asia,,,,,"1,333,526",,"751,676,031",18.05%,,,1387990000,,,,,,,42.25,118.9
Guilin,Guangxi,China,Asia,,,,,"1,326,470",,,,,,1387990000,,,,,,,25.25,110.16
Xiangyang,Hubei,China,Asia,,,,,"1,294,732",,"612,488,384",14.71%,,,1387990000,,,,,,,32,112.1
Haicheng,Liaoning,China,Asia,,,,,"1,293,877",,"619,614,132",14.88%,,,1387990000,,,,,,,40.9,122.6666
Rugao,Jiangsu,China,Asia,,,,,"1,267,066",,"626,675,594",15.05%,,,1387990000,,,,,,,32.333333,120.55
Xuchang,Henan,China,Asia,,,,,"1,265,454",,"633,651,991",15.22%,,,1387990000,,,,,,,34,113.9
Neijiang,Sichuan,China,Asia,,,,,"1,251,095",,"640,294,615",15.38%,,,1387990000,,,,,,,29.55,105.05
Zhangjiagang,Jiangsu,China,Asia,,,,,"1,248,414",,"646,751,086",15.53%,,,1387990000,,,,,,,31.9,120.55
Yixing,Jiangsu,China,Asia,,,,,"1,235,476",,"653,109,460",15.68%,,,1387990000,,,,,,,31.3333333,119.8
Fuqing,Fujian,China,Asia,,,,,"1,234,838",,,,,,1387990000,,,,,,,25.4,119.4
Zhaoqing,Guangdong,China,Asia,,,,,"1,232,701",,,,,,1387990000,,,,,,,23,112.5
Xinyang,Henan,China,Asia,,,,,"1,229,959",,"664,391,820",15.95%,,,1387990000,,,,,,,32.1,114.1
Liaocheng,Shandong,China,Asia,,,,,"1,229,800",,"669,484,345",16.08%,,,1387990000,,,,,,,36.45,116
Maoming,Guangdong,China,Asia,,,,,"1,217,715",,,,,,1387990000,,,,,,,21.66666,110.9
Jiaxing,Zhejiang,China,Asia,,,,,"1,201,900",,"676,240,136",16.24%,,,1387990000,,,,,,,30.75,120.75
Zhenjiang,Jiangsu,China,Asia,,,,,"1,200,400",,"680,324,725",16.34%,,,1387990000,,,,,,,32.16,119.45
Xining,Qinghai,China,Asia,,,,#DIV/0!,"1,198,304",0,"771,739,454",18.53%,,,1387990000,,,,,,Yes,36.6,101.76
Tianshui,Gansu,China,Asia,,,,,"1,197,174",,,,,,1387990000,,,,,,,34.6,105.4
Huazhou,Guangdong,China,Asia,,,,,"1,178,873",,,,,,1387990000,,,,,,,21.6666666,110.6
Qujing,Yunnan,China,Asia,,,,,"1,171,805",,"692,264,809",16.62%,,,1387990000,,,,,,,25.5,103.8
Dingzhou,,China,Asia,,,,,"1,165,182",,,,,,1387990000,,,,,,,38.5,115
Wuhu,Anhui,China,Asia,,,,,"1,162,664",,,,,,1387990000,,,,,,,31.33333333,118.4
Zhuji,Zhejiang,China,Asia,,,,,"1,157,900",,"699,817,796",16.81%,,,1387990000,,,,,,,29.75,120.25
Xingtai,,China,Asia,,,,,"1,155,199",,,,,,1387990000,,,,,,,37.06,114.5
Jingzhou,Hubei,China,Asia,,,,,"1,154,086",,"705,275,955",16.94%,,,1387990000,,,,,,,30.3333333,112.25
Shouguang,Shandong,China,Asia,,,,,"1,139,400",,"708,780,402",17.02%,,,1387990000,,,,,,,36.8,118.75
Yuzhou,Henan,China,Asia,,,,,"1,131,819",,"712,072,388",17.10%,,,1387990000,,,,,,,28.4,111.8
Bazhong,Sichuan,China,Asia,,,,,"1,126,790",,#REF!,#REF!,,,1387990000,,,,,,,31.9,106.75
Zoucheng,Shandong,China,Asia,,,,,"1,116,700",,"718,533,140",17.25%,,,1387990000,,,,,,,35.4,117
Jining,Shandong,China,Asia,,,,,"1,115,300",,"721,729,656",17.33%,,,1387990000,,,,,,,35.5,116.6
Jinzhou,Liaoning,China,Asia,,,,,"1,091,799",,"724,810,773",17.41%,,,1387990000,,,,,,,41.1,121.1
Guigang,Guangxi,China,Asia,,,,,"1,086,327",,,,,,1387990000,,,,,,,23.1,109.6
Zhucheng,Shandong,China,Asia,,,,,"1,086,200",,"729,302,088",17.51%,,,1387990000,,,,,,,36,119.4
Jinhua,Zhejiang,China,Asia,,,,,"1,077,300",,"732,223,007",17.58%,,,1387990000,,,,,,,29.06,119.6
Hengyang,Hunan,China,Asia,,,,,"1,075,516",,"735,118,845",17.65%,,,1387990000,,,,,,,26.9,112.6
Taixing,Jiangsu,China,Asia,,,,,"1,073,921",,"737,971,799",17.72%,,,1387990000,,,,,,,32.17,120.05
Zhangqiu,Shandong,China,Asia,,,,,"1,064,200",,"740,784,674",17.79%,,,1387990000,,,,,,,36.666666,117.5
Zhuzhou,Hunan,China,Asia,,,,,"1,055,373",,"743,543,967",17.86%,,,1387990000,,,,,,,27.86,113.15
Lianyungang,Jiangsu,China,Asia,,,,,"1,049,831",,"746,272,331",17.92%,,,1387990000,,,,,,,34.6,119.2
Ezhou,Hubei,China,Asia,,,,,"1,035,500",,"748,979,181",17.99%,,,1387990000,,,,,,,30.4,114.9
Pingdingshan,Henan,China,Asia,,,,,"1,033,975",,"751,676,031",18.05%,,,1387990000,,,,,,,33.75,113.2
Qinhuangdao,Hebei,China,Asia,,,,,"1,029,670",,,,,,1387990000,,,,,,,39.95,119.6
Linhai,Zhejiang,China,Asia,,,,,"1,028,800",,"755,630,759",18.15%,,,1387990000,,,,,,,28.9,121.15
Benxi,Liaoning,China,Asia,,,,,"1,011,377",,"758,191,702",18.21%,,,1387990000,,,,,,,41.5,123.666666
Wuwei,Gansu,China,Asia,,,,,"1,010,295",,,,,,1387990000,,,,,,,37.9,102.6
Hezhou,Guangxi,China,Asia,,,,,"1,005,500",,,,,,1387990000,,,,,,,24.4,111.6
Zaoyang,Hubei,China,Asia,,,,,"1,004,741",,"763,192,141",18.33%,,,1387990000,,,,,,,32.1,112.9
Xiangcheng,Henan,China,Asia,,,,,"1,003,626",,"765,659,680",18.39%,,,1387990000,,,,,,,33.5,114.9
Dongying,Shandong,China,Asia,,,,,"999,000",,"768,119,439",18.45%,,,1387990000,,,,,,,37.45,118.6666667
Yueyang,Hunan,China,Asia,,,,,"991,465",,"770,539,054",18.50%,,,1387990000,,,,,,,29.33333333,113.1
Laiwu,Shandong,China,Asia,,,,,"989,500",,"772,937,758",18.56%,,,1387990000,,,,,,,36.2,117.6666667
Qidong,Jiangsu,China,Asia,,,,,"972,525",,"775,313,805",18.62%,,,1387990000,,,,,,,31.8,121.65
Danyang,Jiangsu,China,Asia,,,,,"960,418",,"777,650,792",18.67%,,,1387990000,,,,,,,32,119.6
Feicheng,Shandong,China,Asia,,,,,"946,600",,"779,971,356",18.73%,,,1387990000,,,,,,,36.16,116.75
Linfen,Shanxi,China,Asia,,,,,"944,050",,"782,280,641",18.79%,,,1387990000,,,,,,,36.1,111.5
Xinyu,Jiangsu,China,Asia,,,,,"920,610",,"784,551,860",18.84%,,,1387990000,,,,,,,27.85,114.9
Weihai,Shandong,China,Asia,,,,,"908,200",,"786,795,350",18.89%,,,1387990000,,,,,,,37.5,122.1
Xinxiang,Henan,China,Asia,,,,,"902,731",,"789,002,449",18.95%,,,1387990000,,,,,,,35.3,113.9
Zaozhuang,Shandong,China,Asia,,,,,"899,700",,"791,174,976",19.00%,,,1387990000,,,,,,,31.1,120.85
Kaifeng,Henan,China,Asia,,,,,"896,057",,"793,327,792",19.05%,,,1387990000,,,,,,,34.75,114.3
Jiaozuo,Henan,China,Asia,,,,,"865,356",,"795,465,913",19.10%,,,1387990000,,,,,,,35.25,113.2
Rizhao,Shandong,China,Asia,,,,,"865,032",,"797,571,117",19.15%,,,1387990000,,,,,,,35.4158,119.5271
Zhoushan,Zhejiang,China,Asia,,,,,"843,000",,"799,640,592",19.20%,,,1387990000,,,,,,,30.15,112.4
Yibin,Sichuan,China,Asia,,,,,"836,383",,"801,699,062",19.25%,,,1387990000,,,,,,,28.75,104.6
Kashgar,,China,Asia,,,,,"819,095",,"803,720,734",19.30%,,,1387990000,,,,,,,39.45,76
Dandong,Liaoning,China,Asia,,,,,"798,364",,"805,730,975",19.35%,,,1387990000,,,,,,,40.1,124.4
Panzhihua,Sichuan,China,Asia,,,,,"787,177",,"807,733,601",19.40%,,,1387990000,,,,,,,26.6,101.7
Huludao,Liaoning,China,Asia,,,,,"777,682",,"809,714,566",19.44%,,,1387990000,,,,,,,,
Shaoyang,Hunan,China,Asia,,,,,"753,194",,"811,647,509",19.49%,,,1387990000,,,,,,,27.25,111.3
Binzhou,Shandong,China,Asia,,,,,"709,700",,"813,538,159",19.54%,,,1387990000,,,,,,,,
Fuxin,Liaoning,China,Asia,,,,,"686,848",,"815,366,969",19.58%,,,1387990000,,,,,,,,
Dezhou,Shandong,China,Asia,,,,,"679,600",,"817,169,400",19.62%,,,1387990000,,,,,,,,
Tieling,Liaoning,China,Asia,,,,,"666,755",,"818,930,813",19.67%,,,1387990000,,,,,,,,
Puyang,Henan,China,Asia,,,,,"655,631",,"820,638,845",19.71%,,,1387990000,,,,,,,,
Macau/Macao,Macao,China,Asia,,682,,0.00,"650,900",0,"828,809,274",19.90%,,,1387990000,,,,,,Yes,22.16,113.5
Jingjiang,Jiangsu,China,Asia,,,,,"617,277",,"823,092,687",19.77%,,,1387990000,,,,,,,,
Jiujiang,Jiangxi,China,Asia,,,,,"592,381",,"824,657,546",19.80%,,,1387990000,,,,,,,,
Lhasa,Tibet,China,Asia,,,,#DIV/0!,"559,423",0,"830,669,832",19.95%,,,1387990000,,,,,,Yes,29.65,91.15
Aksu,Xinjiang,China,Asia,,,,,"535,657",,#REF!,#REF!,,,1387990000,,,,,,,,
Zhoukou,Henan,China,Asia,,,,,"505,139",,"828,809,274",19.90%,,,1387990000,,,,,,,33.6,114.6666667
Lishui,Zhejiang,China,Asia,,,,,"451,400",,"830,077,451",19.93%,,,1387990000,,,,,,,,
Karamay,Xinjiang,China,Asia,,,,,"261,445",,"831,764,912",19.97%,,,1387990000,,,,,,,,
Altay,Xinjiang,China,Asia,,,,,"190,064",,"832,721,451",20.00%,,,1387990000,,,,,,,,
Lijiang,Yunnan,China,Asia,,,,,"155,540",,"833,172,960",20.01%,,,1387990000,,,,,,,,
Bogotá,,Colombia,South America,,,,,"9,286,225",,,,,,49352000,,,,,,,4.75,-74.1
Medellín,,Colombia,South America,,,,,"3,777,009",,,,,,49352000,,,,,,,6.25,-75.5
Cali,,Colombia,South America,,,,,"2,911,278",,,,,,49352000,,,,,,,3.45,-76.5
Barranquilla,,Colombia,South America,,,,,"2,025,071",,,,,,49352000,,,,,,,11,-74.8
Cartagena,,Colombia,South America,,,,,"1,161,320",,,,,,49352000,,,,,,,10.4,-75.45
Bucaramanga,,Colombia,South America,,,,,"1,122,945",,,,,,49352000,,,,,,,7.1,-73.1
San Jose,San Jose,Costa Rica,North America,,,,,"2,158,898",,"2,158,898",,,,4947490,,,,,,,9.9,-84.1
Zagreb,,Croatia,Europe,,,,,"1,237,887",,"857,009,133",20.58%,,,4154213,,,,,,,45.8,15.9
Prague,,Czech Republic,Europe,,,,,"1,310,000",,"857,009,133",20.58%,,,10588063,,,,,,,50.1,14.45
Lubumbashi,,Democratic Republic of the Congo,Africa,,,,,"2,015,000",,,,,,81339900,,,,,,,-12,27
Mbuji-Mayi,,Democratic Republic of the Congo,Africa,,,,,"2,007,000",,#REF!,#REF!,,,81339900,,,,,,,6,24
Kananga,,Democratic Republic of the Congo,Africa,,,,,"1,169,000",,,,,,81339900,,,,,,,-6,22
Kisangani,,Democratic Republic of the Congo,Africa,,,,,"1,040,000",,#REF!,#REF!,,,81339900,,,,,,,1,26
Kinshasa-Brazzaville,,"Democratic Republic of the Congo
 Republic of the Congo",Africa,,,,,"13,475,000",,#REF!,#REF!,,,81339900,,,,,,,4,15
Copenhagen,,Denmark,Europe,,,,,"1,231,000",,"878,025,133",21.08%,,,5778570,,,,,,,55.75,12.45
Guayaquil,,Ecuador,South America,,,,,"2,952,159",,,,,,16638600,,,,,,,-2.15,-79.9
Quito,,Ecuador,South America,,,,,"2,653,330",,,,,,16638600,,,,,,,-0.1,-78.5
Cairo,,Egypt,Africa,,,,,"18,772,000",,#REF!,#REF!,,,96163300,,,,,,,30,31
Alexandria,,Egypt,Africa,,,,,"4,778,000",,#REF!,#REF!,,,96163300,,,,,,,31,30
San Salvador,San Salvador,El Salvador,North America,,,,,"1,767,102",,"1,767,102",,,,6581940,,,,,,,13.7,-89.2
Santa Ana,Santa Ana,El Salvador,North America,,,,,"290,000",,"290,000",,,,6581940,,,,,,,14,-89.5
Addis Ababa,,Ethiopia,Africa,,,,,"3,238,000",,#REF!,#REF!,,,94352000,,,,,,,9,39
Helsinki,,Finland,Europe,,,,,"1,203,000",,"913,706,724",21.94%,,,5509984,,,,,,,60.25,25.1
Paris,,France,Europe,,,,,"11,800,000",,"914,909,724",21.97%,,,67182000,,,,,,,48.9,2.25
Lyon,,France,Europe,,,,,"1,583,000",,"926,709,724",22.25%,,,67182000,,,,,,,45.75,4.9
Marseilles,,France,Europe,,,,,"1,397,000",,"928,292,724",22.29%,,,67182000,,,,,,,43.3,5.4
Lille,,France,Europe,,,,,"1,016,000",,"929,689,724",22.33%,,,67182000,,,,,,,50.6,3.05
Nice,,France,Europe,,,,,"962,000",,"930,705,724",22.35%,,,67182000,,,,,,,43.75,7.25
Toulouse,,France,Europe,,,,,"880,000",,"931,667,724",22.37%,,,67182000,,,,,,,43.6,1.4
Bordeaux,,France,Europe,,,,,"845,000",,"932,547,724",22.39%,,,67182000,,,,,,,44.85,-0.5
Libreville,,Gabon,Africa,,,,,"703,904",,#REF!,#REF!,,,2025137,,,,,,,0,9
Tbilisi,,Georgia,Asia,,,,,"1,485,293",,"934,096,628",22.43%,,,3718200,,,,,,,41.7,44.8
Ruhr,NordRhein Westfalen,Germany,Europe,,,,,"11,300,000",,"935,581,921",22.47%,,,82800000,,,,,,,51.5,7.4
Berlin,Berlin,Germany,Europe,,,,,"6,563,194",,"946,881,921",22.74%,,,82800000,,,,,,,52.5,13.3333
Frankfurt,Hesse,Germany,Europe,,,,,"6,000,000",,"953,445,115",22.90%,,,82800000,,,,,,,50.1,8.7
Stuttgart,Baden-Württemburg,Germany,Europe,,,,,"5,290,000",,"959,445,115",23.04%,,,82800000,,,,,,,48.7,9.2
München,Bayern,Germany,Europe,,,,,"5,200,000",,"964,735,115",23.17%,,,82800000,,,,,,,48,11.5
Hamburg,Hamburg,Germany,Europe,,,,,"4,270,000",,"969,935,115",23.29%,,,82800000,,,,,,,53.5,10.05
Hannover,Niedersachsen,Germany,Europe,,,,,"3,910,000",,,,,,82800000,,,,,,,,
Nürnberg,Bayern,Germany,Europe,,,,,"3,510,000",,,,,,82800000,,,,,,,,
Bremen,Bremen,Germany,Europe,,,,,"2,370,000",,,,,,82800000,,,,,,,,
Köln-Bonn,NordRhein Westfalen,Germany,Europe,,,,,"2,104,000",,"983,995,115",23.63%,,,82800000,,,,,,,50.9,6.95
Dresden,Sachsen,Germany,Europe,,,,,"1,143,197",,,,,,82800000,,,,,,,51,14
Leipzig,Sachsen,Germany,Europe,,,,,"1,000,000",,,,,,82800000,,,,,,,51.33333,12
Kumasi,,Ghana,Africa,,,,,"2,599,000",,#REF!,#REF!,,,28956587,,,,,,,7,-2
Accra,,Ghana,Africa,,,,,"2,277,000",,#REF!,#REF!,,,28956587,,,,,,,6,0
Athens,,Greece,Europe,,,,,"3,484,000",,"993,118,312",23.85%,,,10783748,,,,,,,37.9,23.6
Thessaloniki,,Greece,Europe,,,,,"840,000",,"996,602,312",23.93%,,,10783748,,,,,,,40.666,22.92
Guatemala city,Guatemala,Guatemala,North America,,,,,"4,500,000",,"4,500,000",,,,16176133,,,,,,,14.6,-90.54
Quetzaltenango,Quetzaltenango,Guatemala,North America,,,,,"661,375",,"661,375",,,,16176133,,,,,,,14.85,-91.5
Conakry,,Guinea,Africa,,,,,"1,936,000",,#REF!,#REF!,,,11702692,,,,,,,10,-14
Bissau,,Guinea-Bissau,Africa,,,,,"395,954",,#REF!,#REF!,,,1553822,,,,,,,12,-16
San Pedro Sula,Cortes,Honduras,North America,,,,,"1,445,598",,"1,445,598",,,,8866351,,,,,,,15.5,-88
Tegucigalpa,Francisco Morazan,Honduras,North America,,,,,"1,126,534",,"1,126,534",,,,8866351,,,,,,,14.1,-87.2
La Estacion,Yoro,Honduras,North America,,,,,"310,000",,"310,000",,,,8866351,,,,,,,15.4,-87.8
La Ceiba,Atlantida,Honduras,North America,,,,,"204,140",,"204,140",,,,8866351,,,,,,,15.75,-86.9
Budapest,,Hungary,Europe,,,,,"3,303,000",,"1,008,021,913",24.21%,,,9799000,,,,,,,47.45,19
Mumbai,Maharashtra,India,Asia,,,,,"18,394,912",,"1,011,324,913",24.29%,,,1325020000,,,,,,,19,72.8
Delhi,Delhi,India,Asia,,,,,"16,349,831",,"1,029,719,825",24.73%,,,1325020000,,,,,,,28.6,77.2
Kolkata,West Bengal,India,Asia,,,,,"14,057,991",,"1,046,069,656",25.12%,,,1325020000,,,,,,,22.55,88.4
Chennai,Tamil Nadu,India,Asia,,,,,"8,653,521",,"1,060,127,647",25.46%,,,1325020000,,,,,,,13.1,80.25
Bangalore,Karnataka,India,Asia,,,,,"8,520,435",,"1,068,781,168",25.67%,,,1325020000,,,,,,,13,77.6
Hyderabad,Telangana,India,Asia,,,,,"7,677,018",,"1,077,301,603",25.87%,,,1325020000,,,,,,,17.6,78.8
Ahmedabad,Gujarat,India,Asia,,,,,"6,357,693",,"1,084,978,621",26.05%,,,1325020000,,,,,,,23,73
Pune,Maharashtra,India,Asia,,,,,"5,057,709",,"1,091,336,314",26.21%,,,1325020000,,,,,,,18.5,73.8
Surat,Gujarat,India,Asia,,,,,"4,591,246",,"1,096,394,023",26.33%,,,1325020000,,,,,,,21.15,72.8
Jaipur,Rajasthan,India,Asia,,,,,"3,046,163",,"1,100,985,269",26.44%,,,1325020000,,,,,,,26.9,75.8
Kanpur,Uttar Pradesh,India,Asia,,,,,"2,920,496",,"1,104,031,432",26.51%,,,1325020000,,,,,,,26.45,80.33
Lucknow,Uttar Pradesh,India,Asia,,,,,"2,902,920",,"1,106,951,928",26.58%,,,1325020000,,,,,,,26.8,80.9
Nagpur,Maharashtra,India,Asia,,,,,"2,497,870",,"1,109,854,848",26.65%,,,1325020000,,,,,,,21.15,79.09
Ghaziabad,Uttar Pradesh,India,Asia,,,,,"2,375,820",,"1,112,352,718",26.71%,,,1325020000,,,,,,,28.67,77.42
Indore,Madhya Pradesh,India,Asia,,,,,"2,170,295",,"1,114,728,538",26.77%,,,1325020000,,,,,,,22.7,75.86
Coimbatore,Tamil Nadu,India,Asia,,,,,"2,136,916",,"1,116,898,833",26.82%,,,1325020000,,,,,,,11,77
Kochi,Kerala,India,Asia,,,,,"2,119,724",,"1,119,035,749",26.87%,,,1325020000,,,,,,,9.97,76.28
Patna,Bihar,India,Asia,,,,,"2,049,156",,"1,121,155,473",26.92%,,,1325020000,,,,,,,25.6,85.1
Kozhikode,Kerala,India,Asia,,,,,"2,028,399",,"1,123,204,629",26.97%,,,1325020000,,,,,,,11.25,75.78
Bhopal,Madhya Pradesh,India,Asia,,,,,"1,886,100",,"1,125,233,028",27.02%,,,1325020000,,,,,,,23.25,77.4
Thrissur,Kerala,India,Asia,,,,,"1,861,269",,"1,127,119,128",27.07%,,,1325020000,,,,,,,10.52,76.21
Vadodara,Gujarat,India,Asia,,,,,"1,822,221",,"1,128,980,397",27.11%,,,1325020000,,,,,,,22.3,73.2
Agra,Uttar Pradesh,India,Asia,,,,,"1,760,285",,"1,130,802,618",27.15%,,,1325020000,,,,,,,27.18,78.02
Visakhapatnam,Andhra Pradesh,India,Asia,,,,,"1,728,128",,"1,132,562,903",27.20%,,,1325020000,,,,,,,17.7,83.2
Malappuram,Kerala,India,Asia,,,,,"1,699,060",,"1,134,291,031",27.24%,,,1325020000,,,,,,,11.041,76.083
Thiruvananthapuram,Kerala,India,Asia,,,,,"1,679,754",,"1,135,990,091",27.28%,,,1325020000,,,,,,,8.5,76.95
Kannur,Kerala,India,Asia,,,,,"1,640,986",,"1,137,669,845",27.32%,,,1325020000,,,,,,,11.8689,73.3555
Ludhiana,Punjab,India,Asia,,,,,"1,618,879",,"1,139,310,831",27.36%,,,1325020000,,,,,,,30.91,75.85
Nashik,Maharashtra,India,Asia,,,,,"1,561,809",,"1,140,929,710",27.40%,,,1325020000,,,,,,,20,73.78
Vijayawada,Andhra Pradesh,India,Asia,,,,,"1,476,931",,"1,142,491,519",27.44%,,,1325020000,,,,,,,16.5193,80.6305
Madurai,Tamil Nadu,India,Asia,,,,,"1,465,625",,"1,143,968,450",27.47%,,,1325020000,,,,,,,9.9,78.1
Varanasi,Uttar Pradesh,India,Asia,,,,,"1,432,280",,"1,145,434,075",27.51%,,,1325020000,,,,,,,25.28,82.96
Meerut,Uttar Pradesh,India,Asia,,,,,"1,420,902",,"1,146,866,355",27.54%,,,1325020000,,,,,,,28.99,77.7
Faridabad,Haryana,India,Asia,,,,,"1,414,050",,"1,148,287,257",27.57%,,,1325020000,,,,,,,28.4211,77.3078
Rajkot,Gujarat,India,Asia,,,,,"1,390,640",,"1,149,701,307",27.61%,,,1325020000,,,,,,,22.3,70.7833
Jamshedpur,Jharkhand,India,Asia,,,,,"1,339,438",,"1,151,091,947",27.64%,,,1325020000,,,,,,,22.8,86.2
Jabalpur,Madhya Pradesh,India,Asia,,,,,"1,268,848",,"1,152,431,385",27.67%,,,1325020000,,,,,,,23.16,79.95
Srinagar,Jammu and Kashmir,India,Asia,,,,,"1,264,202",,"1,153,700,233",27.70%,,,1325020000,,,,,,,34.1,74.8
Asansol,West Bengal,India,Asia,,,,,"1,243,414",,"1,154,964,435",27.74%,,,1325020000,,,,,,,23.68,86.99
Vasai-Virar,Maharashtra,India,Asia,,,,,"1,222,390",,"1,156,207,849",27.77%,,,1325020000,,,,,,,19.47,72.8
Allahabad,Uttar Pradesh,India,Asia,,,,,"1,212,395",,"1,157,430,239",27.79%,,,1325020000,,,,,,,25.45,81.85
Dhanbad,Jharkhand,India,Asia,,,,,"1,196,214",,"1,158,642,634",27.82%,,,1325020000,,,,,,,23.8,86.45
Aurangabad,Maharashtra,India,Asia,,,,,"1,193,167",,"1,159,838,848",27.85%,,,1325020000,,,,,,,19.88,75.32
Amritsar,Punjab,India,Asia,,,,,"1,183,549",,"1,161,032,015",27.88%,,,1325020000,,,,,,,31.64,74.86
Jodhpur,Rajasthan,India,Asia,,,,,"1,138,300",,"1,162,215,564",27.91%,,,1325020000,,,,,,,26.28,73.02
Raipur,Chhattisgarh,India,Asia,,,,,"1,123,558",,"1,163,353,864",27.94%,,,1325020000,,,,,,,21.25,81.63
Ranchi,Jharkhand,India,Asia,,,,,"1,120,374",,"1,164,477,422",27.96%,,,1325020000,,,,,,,23.36,85.33
Gwalior,Madhya Pradesh,India,Asia,,,,,"1,117,740",,"1,165,597,796",27.99%,,,1325020000,,,,,,,26.22,78.178
Kollam,Kerala,India,Asia,,,,,"1,110,668",,"1,166,715,536",28.02%,,,1325020000,,,,,,,8.88,76.6
Durg-Bhilainagar,Chhattisgarh,India,Asia,,,,,"1,064,222",,"1,167,826,204",28.04%,,,1325020000,,,,,,,21.21,81.38
Chandigarh,Chandigarh,India,Asia,,,,,"1,055,450",,"1,168,890,426",28.07%,,,1325020000,,,,,,,30.75,76.78
Tiruchirappalli,Tamil Nadu,India,Asia,,,,,"1,022,518",,"1,169,945,876",28.09%,,,1325020000,,,,,,,10.8,78.7
Kota,Rajasthan,India,Asia,,,,,"1,001,694",,"1,170,968,394",28.12%,,,1325020000,,,,,,,25,76.15
Jakarta,,Indonesia,Asia,,,,,"30,000,000",,,,,,261890000,,,,,,,-6.2,107
Bandung,,Indonesia,Asia,,,,,"8,500,000",,,,,,261890000,,,,,,,-6.9,108
Surabaya,,Indonesia,Asia,,,,,"6,484,000",,,,,,261890000,,,,,,,-7.25,113
Medan,,Indonesia,Asia,,,,,"4,103,000",,,,,,261890000,,,,,,,3.6,99
Semarang,,Indonesia,Asia,,,,,"3,183,516",,,,,,261890000,,,,,,,-7,110
Malang,,Indonesia,Asia,,,,,"2,795,209",,,,,,261890000,,,,,,,-8,113
Makassar,,Indonesia,Asia,,,,,"1,976,000",,,,,,261890000,,,,,,,-5.1,119
